run,model_id,predictor,target,test,n,n_description,rho,p_value,interpretation_note
EXP-C1-two_class,M5,n_cycles,is_error,Spearman rank correlation,3006,"n is the number of recordings with both a segmentation and a prediction, each once",0.005468055156642755,0.7644253644193588,"Spearman, not Pearson: annotated fraction is bounded in [0, 1] and heavily skewed, so a linear coefficient would largely report the skew."
EXP-C1-two_class,M6,annotated_fraction,confidence,Spearman rank correlation,3006,"n is the number of recordings with both a segmentation and a prediction, each once",0.04394818410166303,0.015965240356865924,"Spearman, not Pearson: annotated fraction is bounded in [0, 1] and heavily skewed, so a linear coefficient would largely report the skew."
EXP-C1-two_class,M6,annotated_fraction,is_error,Spearman rank correlation,3006,"n is the number of recordings with both a segmentation and a prediction, each once",-0.026082887232353746,0.1528046004983684,"Spearman, not Pearson: annotated fraction is bounded in [0, 1] and heavily skewed, so a linear coefficient would largely report the skew."
EXP-C1-two_class,M6,n_cycles,confidence,Spearman rank correlation,3006,"n is the number of recordings with both a segmentation and a prediction, each once",0.09809313998938182,7.088387656500496e-08,"Spearman, not Pearson: annotated fraction is bounded in [0, 1] and heavily skewed, so a linear coefficient would largely report the skew."
EXP-C1-two_class,M6,n_cycles,is_error,Spearman rank correlation,3006,"n is the number of recordings with both a segmentation and a prediction, each once",-0.032834084512272585,0.07187154540652692,"Spearman, not Pearson: annotated fraction is bounded in [0, 1] and heavily skewed, so a linear coefficient would largely report the skew."
EXP-C1-two_class,M7,annotated_fraction,confidence,Spearman rank correlation,3006,"n is the number of recordings with both a segmentation and a prediction, each once",0.04394818410166303,0.015965240356865924,"Spearman, not Pearson: annotated fraction is bounded in [0, 1] and heavily skewed, so a linear coefficient would largely report the skew."
EXP-C1-two_class,M7,annotated_fraction,is_error,Spearman rank correlation,3006,"n is the number of recordings with both a segmentation and a prediction, each once",-0.026082887232353746,0.1528046004983684,"Spearman, not Pearson: annotated fraction is bounded in [0, 1] and heavily skewed, so a linear coefficient would largely report the skew."
EXP-C1-two_class,M7,n_cycles,confidence,Spearman rank correlation,3006,"n is the number of recordings with both a segmentation and a prediction, each once",0.09809313998938182,7.088387656500496e-08,"Spearman, not Pearson: annotated fraction is bounded in [0, 1] and heavily skewed, so a linear coefficient would largely report the skew."
EXP-C1-two_class,M7,n_cycles,is_error,Spearman rank correlation,3006,"n is the number of recordings with both a segmentation and a prediction, each once",-0.032834084512272585,0.07187154540652692,"Spearman, not Pearson: annotated fraction is bounded in [0, 1] and heavily skewed, so a linear coefficient would largely report the skew."
EXP-D1,M1,annotated_fraction,confidence,Spearman rank correlation,3162,"n is the number of recordings with both a segmentation and a prediction, each once",-0.11507845051662655,8.579914951196393e-11,"Spearman, not Pearson: annotated fraction is bounded in [0, 1] and heavily skewed, so a linear coefficient would largely report the skew."
EXP-D1,M1,annotated_fraction,is_error,Spearman rank correlation,3162,"n is the number of recordings with both a segmentation and a prediction, each once",-0.0013570825390269007,0.9391956439661369,"Spearman, not Pearson: annotated fraction is bounded in [0, 1] and heavily skewed, so a linear coefficient would largely report the skew."
EXP-D1,M1,n_cycles,confidence,Spearman rank correlation,3162,"n is the number of recordings with both a segmentation and a prediction, each once",-0.09313000422918222,1.5527762311542283e-07,"Spearman, not Pearson: annotated fraction is bounded in [0, 1] and heavily skewed, so a linear coefficient would largely report the skew."
EXP-D1,M1,n_cycles,is_error,Spearman rank correlation,3162,"n is the number of recordings with both a segmentation and a prediction, each once",0.022259323606021605,0.21081084975779854,"Spearman, not Pearson: annotated fraction is bounded in [0, 1] and heavily skewed, so a linear coefficient would largely report the skew."
